run_accession,bioproject_accession,biosample_accession,sample_accession,total_bases,total_spots,published,platform,instrument_model,library_strategy,library_source,organism,center_name,organization_name,institution,geo_loc_name,file_size_mb,source,published_dt,year,is_saudi_submitter,is_pathogen,is_wgs,is_genomic,is_complete_genome
SRR31990186,,SAMN46241491,SRS23782335,173411621.0,128000.0,2026-01-13 00:00:28,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,147.41352558135986,NCBI,2026-01-13 00:00:28,2026,True,False,False,False,False
SRR31990187,,SAMN46241490,SRS23782334,177195274.0,128000.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,149.71830654144287,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31681236,,SAMN45626507,SRS23506521,72302497.0,164332.0,2025-04-01 02:17:55,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,soil metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia:Thuwal,22.53538608551025,NCBI,2025-04-01 02:17:55,2025,True,False,False,False,False
SRR31760782,,SAMN45894344,SRS23580032,53978634098.0,178737199.0,2024-12-18 13:59:18,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,Aizoon canariense,King Saud University,King Saud University,King Saud University,Saudi Arabia,17029.465538024902,NCBI,2024-12-18 13:59:18,2024,True,False,True,True,True
SRR31801986,PRJNA1111306,SAMN44485241,SRS23175980,576974688.0,257193.0,2024-12-30 10:33:02,PACBIO_SMRT,Sequel II,OTHER,OTHER,Phyllogeiton discolor,KAUST,KAUST,KAUST,Saudi Arabia: Jazan,267.6270570755005,NCBI,2024-12-30 10:33:02,2024,True,False,False,False,False
SRR31810268,,SAMN45575268,SRS23623660,1194900.0,3983.0,2026-01-01 01:33:59,ILLUMINA,Illumina NovaSeq 6000,Targeted-Capture,GENOMIC,Juncus punctorius,UC Davis,UC Davis,UC Davis,Saudi Arabia,0.4679117202758789,NCBI,2026-01-01 01:33:59,2026,False,False,False,True,False
SRR31814583,,SAMN45954147,SRS23627513,13105556100.0,43685187.0,2026-01-01 01:37:50,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3865.423493385315,NCBI,2026-01-01 01:37:50,2026,True,False,False,False,False
SRR31814582,,SAMN45954148,SRS23627514,12531425700.0,41771419.0,2026-01-01 01:37:50,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3702.6643657684326,NCBI,2026-01-01 01:37:50,2026,True,False,False,False,False
SRR31814581,,SAMN45954149,SRS23627515,13154233800.0,43847446.0,2026-01-01 01:37:51,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3853.2504453659058,NCBI,2026-01-01 01:37:51,2026,True,False,False,False,False
SRR31814580,,SAMN45954150,SRS23627516,13123457700.0,43744859.0,2026-01-01 01:37:50,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3903.3329973220825,NCBI,2026-01-01 01:37:50,2026,True,False,False,False,False
SRR31814579,,SAMN45954151,SRS23627517,12037440000.0,40124800.0,2026-01-01 01:37:51,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3566.5652179718018,NCBI,2026-01-01 01:37:51,2026,True,False,False,False,False
SRR31814578,,SAMN45954152,SRS23627518,13187407200.0,43958024.0,2026-01-01 01:37:50,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3889.7364473342896,NCBI,2026-01-01 01:37:50,2026,True,False,False,False,False
SRR31814577,,SAMN45954153,SRS23627519,11910501000.0,39701670.0,2026-01-01 01:37:50,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3504.5894947052,NCBI,2026-01-01 01:37:50,2026,True,False,False,False,False
SRR31675874,,SAMN45631573,SRS23501503,77164129.0,172183.0,2025-04-01 02:45:19,ILLUMINA,Illumina MiSeq,AMPLICON,METAGENOMIC,soil metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia:Thuwal,25.57196807861328,NCBI,2025-04-01 02:45:19,2025,True,False,False,False,False
SRR31814576,,SAMN45954154,SRS23627520,13153877700.0,43846259.0,2026-01-01 01:37:50,ILLUMINA,Illumina NovaSeq 6000,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology (KAUST),KAUST,Saudi Arabia,3890.567700386048,NCBI,2026-01-01 01:37:50,2026,True,False,False,False,False
DRR624897,PRJDB19788,SAMD00851332,DRS430740,30.0,1.0,2024-12-24 01:35:38,PACBIO_SMRT,Sequel IIe,OTHER,OTHER,Homo sapiens,National Center for Global Health and Medicine,National Center for Global Health and Medicine,National Center for Global Health and Medicine,Saudi Arabia,0.07257080078125,NCBI,2024-12-24 01:35:38,2024,False,False,False,False,False
SRR31817017,,SAMN45905749,SRS23629901,216404442.0,716571.0,2026-02-28 00:04:37,ILLUMINA,Illumina NovaSeq X,Targeted-Capture,GENOMIC,Ischnocolus sp.,"Faculty of Science, Charles University","Faculty of Science, Charles University","Faculty of Science, Charles University",Saudi Arabia: Qilwah,70.28757190704346,NCBI,2026-02-28 00:04:37,2026,False,False,False,True,False
SRR31836791,,SAMN45991099,SRS23647559,122166071934.0,404523417.0,2024-12-26 23:21:44,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,Lycium shawii,King Saud University,King Saud University,King Saud University,Saudi Arabia: Wadi Laban,37325.85642814636,NCBI,2024-12-26 23:21:44,2024,True,False,True,True,True
SRR31990195,,SAMN46241474,SRS23782326,177192932.0,128000.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,149.43569469451904,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
SRR31990194,,SAMN46241475,SRS23782327,176495295.0,128000.0,2026-01-13 00:00:28,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,149.1472988128662,NCBI,2026-01-13 00:00:28,2026,True,False,False,False,False
SRR31990193,,SAMN46241484,SRS23782328,68591587.0,49192.0,2026-01-13 00:00:27,OXFORD_NANOPORE,MinION,AMPLICON,METAGENOMIC,drinking water metagenome,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,KAUST,Saudi Arabia: Thuwal,57.9318733215332,NCBI,2026-01-13 00:00:27,2026,True,False,False,False,False
